anio,mes,dia,titulo,descripcion
2021,10,20,Publicación Bitácora: Te damos la bienvenida a la Bitácora de Turismo,"<li><a href=""https://bitacora.yvera.tur.ar/posts/bienvenida/"">📖 BITÁCORA</a> </li>"
2021,12,14,Publicación Bitácora: Empleo registrado en Turismo,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2021-12-09-empleo/"">📖 BITÁCORA</a> </li>"
2022,1,19,Encuesta de Ocupación Hotelera (EOH) - Noviembre 2021,"<li><a href=""https://www.yvera.tur.ar/estadistica/informe/documentos/descarga/61e8604b64f75491116042.pdf"">🔗 Informe</a></li>
<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos></a></li>"
2022,1,28,Publicación Bitácora: Actualización de microdatos de la Encuesta de Viajes y Turismo de los Hogares,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-01-25-actualizacin-de-base-de-microdatos-evyth/"">📖 BITÁCORA</a> </li>"
2022,2,2,Cuenta satélite de turismo de la Argentina. Años 2004 y 2016-2019,"<li><a href=""https://www.yvera.tur.ar/estadistica/informe/documentos/descarga/61fad7e475abe809073943.pdf"">🔗 Informe</a></li><li><a href=""https://bitacora.yvera.tur.ar/posts/2022-02-01-cuenta-satelite/"">📖 BITÁCORA</a> </li>"
2022,2,10,Estadísticas de turismo internacional (ETI) - Diciembre de 2021,"<li><a href=""https://tableros.yvera.tur.ar/internacional.html"">💻 Reporte</a></li>
<li><a href=""https://tableros.yvera.tur.ar/turismo_internacional/"">👨🏻‍💻 Tablero</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset?groups=turismo-internacional"">📖 Datos Abiertos</a> </li>"
2022,2,23,Encuesta de ocupación hotelera (EOH) - Diciembre de 2022,"<li><a href=""https://www.yvera.tur.ar/estadistica/informe/documentos/descarga/621684925e880402249321.pdf"">🔗 Informe</a></li>
<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos></a></li>"
2022,3,2,Reporte MULC - Enero de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2022,3,9,Estadísticas de turismo internacional (ETI) - Enero de 2022,"<li><a href=""https://tableros.yvera.tur.ar/internacional.html"">💻 Reporte</a></li>
<li><a href=""https://tableros.yvera.tur.ar/turismo_internacional/"">👨🏻‍💻 Tablero</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset?groups=turismo-internacional"">📖 Datos Abiertos</a> </li>"
2022,3,11,Informe de visitas en Parques Nacionales - Octubre 2021,"<li><a href=""https://www.yvera.tur.ar/estadistica/informe/documentos/descarga/620adec0cdba2295888077.pdf"">💻 Reporte</a></li>
<li><a href=""https://tableros.yvera.tur.ar/parques_nacionales.html"">👨🏻‍💻 Tablero</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset/parques-nacionales"">📖 Datos Abiertos</a> </li>"
2022,3,21,Encuesta de ocupación hotelera (EOH) - Enero de 2022,"<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos></a></li>"
2022,3,22,Publicación Bitácora: Calendario de Difusión,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-03-22-publicacin-del-calendario-de-difusin/"">📖 BITÁCORA</a> </li>"
2022,3,29,Publicación Bitácora: Un recorrido por el Sistema de Información Turística de la Argentina.,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-03-29-tutorial-sinta/"">📖 BITÁCORA</a> </li>"
2022,4,4,Encuesta de Viajes y Turismo de los Hogares (EVyTH) - IV trimestre de 2021,"<li><a href=""https://datos.yvera.gob.ar/dataset/encuesta-de-viajes-y-turismo-de-los-hogares-evyth-microdatos"">📖 Datos Abiertos</a> </li>
<li><a href=""https://tableros.yvera.tur.ar/interno.html"">💻 Reportes</a> </li>"
2022,4,5,Reporte MULC - Febrero de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2022,4,5,Publicación Bitácora: Monitor Estadístico de las Provincias,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-04-04-monitor-provincias/"">📖 BITÁCORA</a> </li>"
